 Year ; Month ; Day ; FECHA completa ;Valor Neto; Margen ; Mar% ; Cantidad ; Costo Promedio ; Fecha con dia semana ; Semana del año ; DIA de la semana ; index 
2018;Mayo;4;4/Mayo/2018;33381715.00;$ 13,104,822.02;39.26%;23,591.00;$ 20,276,892.98;viernes, 4 de mayo de 2018;18;viernes;1004
2018;Mayo;5;5/Mayo/2018;1535250.00;$ 535,999.36;34.91%;1,804.00;$ 999,250.64;sábado, 5 de mayo de 2018;18;sábado;1005
2018;Mayo;7;7/Mayo/2018;28014302.42;$ 11,122,264.64;39.70%;22,366.00;$ 16,892,037.78;lunes, 7 de mayo de 2018;19;lunes;1006
2018;Mayo;8;8/Mayo/2018;34471591.00;$ 13,154,993.31;38.16%;25,753.00;$ 21,316,597.69;martes, 8 de mayo de 2018;19;martes;1007
2018;Mayo;9;9/Mayo/2018;30781167.00;$ 11,652,314.08;37.86%;33,557.00;$ 19,128,852.92;miércoles, 9 de mayo de 2018;19;miércoles;1008
2018;Mayo;10;10/Mayo/2018;38637115.00;$ 15,145,785.53;39.20%;28,867.00;$ 23,491,329.47;jueves, 10 de mayo de 2018;19;jueves;1009
2018;Mayo;11;11/Mayo/2018;30502071.63;$ 12,453,725.64;40.83%;20,506.64;$ 18,048,345.99;viernes, 11 de mayo de 2018;19;viernes;1010
2018;Mayo;12;12/Mayo/2018;4323800.00;$ 1,984,625.61;45.90%;4,022.00;$ 2,339,174.39;sábado, 12 de mayo de 2018;19;sábado;1011
2018;Mayo;14;14/Mayo/2018;27342429.22;$ 11,176,286.68;40.88%;15,180.00;$ 16,166,142.54;lunes, 14 de mayo de 2018;20;lunes;1012
2018;Mayo;15;15/Mayo/2018;38073459.00;$ 15,746,855.63;41.36%;34,481.00;$ 22,326,603.37;martes, 15 de mayo de 2018;20;martes;1013
2018;Mayo;16;16/Mayo/2018;40818078.00;$ 15,749,694.83;38.59%;21,148.00;$ 25,068,383.17;miércoles, 16 de mayo de 2018;20;miércoles;1014
2018;Mayo;17;17/Mayo/2018;42267492.00;$ 14,822,358.36;35.07%;18,035.00;$ 27,445,133.64;jueves, 17 de mayo de 2018;20;jueves;1015
2018;Mayo;18;18/Mayo/2018;31098026.00;$ 12,034,644.01;38.70%;25,746.00;$ 19,063,381.99;viernes, 18 de mayo de 2018;20;viernes;1016
2018;Mayo;19;19/Mayo/2018;2834814.00;$ 1,522,470.95;53.71%;3,837.00;$ 1,312,343.05;sábado, 19 de mayo de 2018;20;sábado;1017
2018;Mayo;22;22/Mayo/2018;38946445.66;$ 12,954,191.28;33.26%;31,767.00;$ 25,992,254.38;martes, 22 de mayo de 2018;21;martes;1018
2018;Mayo;23;23/Mayo/2018;37882507.00;$ 15,402,780.26;40.66%;25,220.00;$ 22,479,726.75;miércoles, 23 de mayo de 2018;21;miércoles;1019
2018;Mayo;24;24/Mayo/2018;42483495.81;$ 15,587,587.90;36.69%;29,056.00;$ 26,895,907.91;jueves, 24 de mayo de 2018;21;jueves;1020
2018;Mayo;25;25/Mayo/2018;25442343.00;$ 9,869,213.06;38.79%;19,332.00;$ 15,573,129.94;viernes, 25 de mayo de 2018;21;viernes;1021
2018;Mayo;26;26/Mayo/2018;1955022.00;$ 761,839.55;38.97%;718.00;$ 1,193,182.45;sábado, 26 de mayo de 2018;21;sábado;1022
2018;Mayo;28;28/Mayo/2018;34372623.00;$ 12,117,215.34;35.25%;11,001.00;$ 22,255,407.66;lunes, 28 de mayo de 2018;22;lunes;1023
2018;Mayo;29;29/Mayo/2018;41243298.00;$ 15,092,792.42;36.59%;32,123.00;$ 26,150,505.59;martes, 29 de mayo de 2018;22;martes;1024
2018;Mayo;30;30/Mayo/2018;37924515.00;$ 13,963,718.06;36.82%;34,150.00;$ 23,960,796.94;miércoles, 30 de mayo de 2018;22;miércoles;1025
2018;Mayo;31;31/Mayo/2018;71544570.00;$ 24,665,200.49;34.48%;42,828.00;$ 46,879,369.51;jueves, 31 de mayo de 2018;22;jueves;1026
2018;Junio;1;1/Junio/2018;18956503.00;$ 8,231,572.56;43.42%;12,215.00;$ 10,724,930.44;viernes, 1 de junio de 2018;22;viernes;1027
2018;Junio;2;2/Junio/2018;1608872.00;$ 679,276.14;42.22%;1,721.00;$ 929,595.86;sábado, 2 de junio de 2018;22;sábado;1028
2018;Junio;4;4/Junio/2018;22562262.00;$ 9,267,146.12;41.07%;16,942.00;$ 13,295,115.88;lunes, 4 de junio de 2018;23;lunes;1029
2018;Junio;5;5/Junio/2018;27530221.00;$ 11,166,976.31;40.56%;25,850.00;$ 16,363,244.69;martes, 5 de junio de 2018;23;martes;1030
2018;Junio;6;6/Junio/2018;31452662.80;$ 12,628,028.38;40.15%;25,886.00;$ 18,824,634.42;miércoles, 6 de junio de 2018;23;miércoles;1031
2018;Junio;7;7/Junio/2018;36693090.11;$ 14,295,056.37;38.96%;34,681.38;$ 22,398,033.74;jueves, 7 de junio de 2018;23;jueves;1032
2018;Junio;8;8/Junio/2018;24834987.00;$ 10,790,538.16;43.45%;22,612.00;$ 14,044,448.84;viernes, 8 de junio de 2018;23;viernes;1033
2018;Junio;9;9/Junio/2018;3708271.00;$ 1,177,711.81;31.76%;4,371.00;$ 2,530,559.19;sábado, 9 de junio de 2018;23;sábado;1034
2018;Junio;11;11/Junio/2018;29466597.62;$ 11,097,254.36;37.66%;15,157.00;$ 18,369,343.26;lunes, 11 de junio de 2018;24;lunes;1035
2018;Junio;12;12/Junio/2018;32183806.00;$ 14,552,503.93;45.22%;22,806.00;$ 17,631,302.07;martes, 12 de junio de 2018;24;martes;1036
2018;Junio;13;13/Junio/2018;39462046.00;$ 15,761,349.49;39.94%;28,210.00;$ 23,700,696.51;miércoles, 13 de junio de 2018;24;miércoles;1037
2018;Junio;14;14/Junio/2018;33424982.00;$ 11,986,787.81;35.86%;22,640.00;$ 21,438,194.19;jueves, 14 de junio de 2018;24;jueves;1038
